"word","freq"
"eduaubcedubfuf",5
"eduaubdedubuaaeduaubcedubfubc",5
"eduaubdedububeduaubdedubu",5
"eduaubdedubueduaubdedubueduaubdedubueduaubdedubueduaubdedubumannequinchallenge",5
"entire",5
"erjefferson",5
"evidence",5
"except",5
"exchange",5
"feat",5
"fifteen",5
"fight",5
"figure",5
"finance",5
"firebannon",5
"fng",5
"foods",5
"ford",5
"girlfriend",5
"girls",5
"goes",5
"gorams",5
"greysanatomy",5
"hayes",5
"hayleybarlow",5
"hell",5
"herewego",5
"hiring",5
"host",5
"httpstcobspurcn",5
"httpstcobxnvjulr",5
"httpstcocxiasz",5
"httpstcodaxasly",5
"httpstcodspitrrq",5
"httpstcogannzoqk",5
"httpstcohnoakbluknrt",5
"httpstcoisdiwdxec",5
"httpstcojkwkawlpu",5
"httpstcoksyw",5
"httpstcommlpn",5
"httpstconoobrihhonrt",5
"httpstcoocqfdvkno",5
"httpstcoohwqxneswnrt",5
"httpstcopsxjpecnrt",5
"httpstcosvjgbonrt",5
"httpstcotvuiozqmanrt",5
"httpstcouhspyul",5
"httpstcoukspjelkynrt",5
"httpstcovdrjlqfbnrt",5
"httpstcowfpscfgbsa",5
"httpstcowiabyvgpnnrt",5
"httpstcowwvxeplw",5
"httpstcoynijravanrt",5
"huge",5
"ignore",5
"imagined",5
"incredible",5
"ingodidotrust",5
"jedi",5
"junk",5
"karlasouza",5
"kick",5
"kroenke",5
"latest",5
"lie",5
"locks",5
"low",5
"magnitofreshout",5
"meet",5
"messn",5
"michaelpgrande",5
"mmpadellan",5
"movement",5
"movie",5
"naftali",5
"national",5
"nepotism",5
"nigerians",5
"njlagunaa",5
"oliver",5
"original",5
"paid",5
"palestinian",5
"per",5
"petition",5
"phizzytainment",5
"proud",5
"pulled",5
"putin",5
"race",5
"ramsnrt",5
"ran",5
"reject",5
"relatablequote",5
"remain",5
"remember",5
"rip",5
"rockjaw",5
"scary",5
"scenes",5
"screams",5
"sdope",5
"sen",5
"senate",5
"sexism",5
"siden",5
"silent",5
"sincerely",5
"society",5
"something",5
"squad",5
"sremmurd",5
"starwars",5
"stefanmolyneux",5
"strong",5
"stunt",5
"sweet",5
"tel",5
"theforceawakens",5
"trashyusagi",5
"tried",5
"trumpbannon",5
"trust",5
"unrt",5
"untruth",5
"urges",5
"victim",5
"violating",5
"walk",5
"wall",5
"walsall",5
"wfcofficial",5
"wid",5
"winning",5
"winter",5
"worried",5
"yiannopolous",5
"yowan",5
"action",4
"adl",4
"advise",4
"aide",4
"alonzolerone",4
"answers",4
"antilgbt",4
"anymore",4
"artisthtgawmgifsfunnyanimallovepage",4
"asking",4
"attacks",4
"authority",4
"ave",4
"aviv",4
"awesome",4
"backfires",4
"banno",4
"bannonnstopbannonndailyshownt",4
"basis",4
"bayan",4
"becoming",4
"beebs",4
"bestsetever",4
"bigot",4
"billsimmons",4
"blasts",4
"booth",4
"born",4
"boys",4
"breaknniranian",4
"breitbarts",4
"bring",4
"car",4
"catch",4
"caught",4
"children",4
"civic",4
"civil",4
"class",4
"clinton",4
"close",4
"cncomusic",4
"college",4
"complete",4
"coping",4
"course",4
"coverage",4
"cowards",4
"creativity",4
"date",4
"deal",4
"dedicated",4
"defending",4
"diary",4
"dies",4
"disavow",4
"dopest",4
"draft",4
"drink",4
"drop",4
"eduaubcedubcuf",4
"eduaubdedubuadeduaubdedubuadeduaubdedubuad",4
"ewufootball",4
"fall",4
"fantasticbeasts",4
"fellow",4
"file",4
"finishstrong",4
"flashbackfridayrage",4
"foolish",4
"frequency",4
"friday",4
"gets",4
"glenn",4
"gobills",4
"goeags",4
"goniners",4
"goodbye",4
"grassroots",4
"gtgt",4
